Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,City,Region,Quantity,Unit_Price,Discount_Percent,Sales,Profit,Payment_Mode,Order_Status
ORD0001,2025-01-01,CUST0075,Customer_088,Moisturizer,Beauty,Hyderabad,South,5.0,4153.66,10,18691.47,1308.31,Net Banking,Returned
ORD0002,2025-01-02,CUST0021,Customer_033,Bottle,Home & Kitchen,Pune,West,2.0,18133.37,5,34453.4,2975.57,COD,Completed
ORD0003,2025-01-03,CUST0060,Customer_080,Yoga Mat,Sports,Kolkata,East,3.0,15412.77,5,43926.39,2606.29,Debit Card,Returned
ORD0004,2025-01-04,CUST0018,Customer_004,Shampoo,Beauty,Kolkata,East,5.0,15306.36,20,61225.44,8577.67,UPI,Returned
ORD0005,2025-01-05,CUST0060,Customer_071,T-Shirt,Clothing,Chandigarh,North,2.0,2712.5,15,4611.25,452.85,COD,Cancelled
ORD0006,2025-01-07,CUST0054,Customer_004,Chair,Home & Kitchen,Delhi,North,2.0,16664.3,5,31662.17,4275.38,Net Banking,Completed
ORD0007,2025-01-08,CUST0040,Customer_085,Jeans,Clothing,Agra,North,4.0,15068.13,15,51231.64,3025.0,Net Banking,Completed
ORD0008,2025-01-09,CUST0029,Customer_015,Cricket Bat,Sports,Hyderabad,South,1.0,7239.08,15,6153.22,647.32,Net Banking,Completed
ORD0009,2025-01-10,CUST0008,Customer_035,Headphones,Electronics,Bengaluru,South,1.0,5208.28,10,4687.45,420.79,Debit Card,Completed
ORD0010,2025-01-11,CUST0034,Customer_033,Cookware Set,Home & Kitchen,Mumbai,West,2.0,3161.97,0,6323.94,1104.54,Net Banking,Completed
ORD0011,2025-01-13,CUST0003,Customer_001,Shampoo,Beauty,Hyderabad,South,3.0,11963.71,20,28712.9,7015.78,Net Banking,Completed
ORD0012,2025-01-14,CUST0052,Customer_096,Cookware Set,Home & Kitchen,Kolkata,East,2.0,11151.61,10,20072.9,1129.82,COD,Cancelled
ORD0013,2025-01-15,CUST0045,Customer_062,Running Shoes,Sports,,West,3.0,17461.19,15,44526.03,10505.45,UPI,Cancelled
ORD0014,2025-01-16,CUST0097,Customer_001,Shampoo,Beauty,Jaipur,West,2.0,3315.57,0,6631.14,753.3,UPI,Completed
ORD0015,2025-01-18,CUST0037,Customer_097,Mouse,Electronics,Jaipur,West,1.0,7828.1,10,7045.29,940.42,Debit Card,Completed
ORD0016,2025-01-19,CUST0012,Customer_039,Shampoo,Beauty,Hyderabad,South,1.0,10274.75,0,10274.75,1035.52,Credit Card,Completed
ORD0017,2025-01-20,CUST0054,Customer_087,Headphones,Electronics,Mumbai,West,1.0,6889.49,5,6545.02,985.26,Net Banking,Completed
